NOME_ESTACAO;CH_MED;CH_DP;CH4_MED;CH4_DP;CO_MED;CO_DP;DV_MED;DV_DP;ERT_MED;ERT_DP;H2S_MED;H2S_DP;HCT_MED;HCT_DP;HCNM_MED;HCNM_DP;IQAR_MED;IQAR_DP;MP10_MED;MP10_DP;MP2.5_MED;MP2.5_DP;NH3_MED;NH3_DP;NO_MED;NO_DP;NO2_MED;NO2_DP;NOX_MED;NOX_DP;O3_MED;O3_DP;PRESS_MED;PRESS_DP;PTS_MED;PTS_DP;RAD_MED;RAD_DP;SO2_MED;SO2_DP;TEMP_MED;TEMP_DP;U_MED;U_DP;UR_MED;UR_DP;VV_MED;VV_DP
LIMEIRA;;;;;;;;;;;;;;;;;30.726;14.1338;37.3286;15.0262;24.3034;8.88821;;;;;9.83333;2.46419;;;24.0798;9.15064;;;;;;;;;;;;;;;;
LOBO LEITE;;;;;0.143829;0.338128;;;;;;;;;;;15.3461;25.914;35.3069;34.7684;27.1043;131.244;;;;;;;;;;;;;78.5569;69.8138;;;;;;;;;;;;
MACHADINHO;0.0311874;0.505189;;;0.205316;0.65653;151.267;59.9134;;;;;;;;;8.89563;14.9916;;;;;1.52172;5.34475;5.0418;6.70278;5.59981;4.58466;10.5357;8.95257;25.6254;18.81;1.64246;25.0127;;;182.962;273.709;0.753933;6.42044;24.5621;3.76025;78.8414;13.673;;;1.22798;1.06843
MAJOR LAGE;;;;;;;;;;;;;;;;;12.7966;12.358;12.7189;40.0356;2.23217;37.9883;;;;;;;;;;;;;37.1661;38.4193;;;;;;;;;;;;
MARG.TIETÊ-PTE REMÉDIOS;;;;;3.0;0.0;;;;;;;;;;;29.6571;17.7425;21.7293;12.7668;31.1306;18.0363;;;;;14.8456;5.50652;;;;;;;;;;;8.26667;17.7744;;;;;;;;
MARÍLIA;;;;;;;;;;;;;;;;;23.5337;8.85287;28.5856;10.1321;;;;;;;;;;;21.7714;7.60873;;;;;;;;;;;;;;;;
MAUÁ;;;;;;;;;;;;;;;;;27.5917;14.5344;27.9809;13.0446;33.207;17.4679;;;;;;;;;21.7477;12.0923;;;;;;;;;;;;;;;;
MOOCA;;;;;1.0;0.0;;;;;;;;;;;25.8536;11.9755;;;28.0606;12.1337;;;;;;;;;23.4975;11.3323;;;;;;;;;;;;;;;;
N.SENHORA DO Ó;;;;;;;;;;;;;;;;;22.5175;11.072;23.0438;10.9183;;;;;;;;;;;21.5161;11.2911;;;;;;;;;;;;;;;;
NOVO PLATAFORMA;;;;;;;;;;;;;;;;;17.6306;14.9563;30.5013;66.551;14.6568;75.5089;;;;;;;;;;;;;44.7519;64.8693;;;;;;;;;;;;
OSASCO;;;;;4.5;1.5;;;;;;;;;;;32.6128;17.3797;28.9993;14.1609;35.2746;18.8807;;;;;14.5652;5.99874;;;;;;;;;;;2.0;0.0;;;;;;;;
PETROSIX;;;;;0.829989;0.768234;;;;;;;;;;;10.2413;16.7439;12.7523;18.6702;;;;;;;3.8543;2.8615;;;19.2972;9.45113;;;19.7629;27.5165;;;1.21874;2.03739;;;;;;;;
PONTA GROSSA;;;;;;;;;;;;;;;;;22.6333;77.9651;985.0;6.82121e-12;;;;;;;8.35374;5.62681;;;12.8845;7.72389;;;464.317;472.67;;;;;;;;;;;;
PUC BARREIRO;;;;;0.86119;1.26757;;;;;;;;;;;14.229;15.0182;34.8407;99.8217;43.1636;158.836;;;;;;;;;;;;;;;;;;;;;;;;;;
PUC SÃO GABRIEL;;;;;1.06925;1.61505;;;;;;;;;;;13.5163;19.5217;75.5929;214.151;91.7411;272.582;;;;;;;;;;;;;;;;;;;;;;;;;;
PANORAMA;;;;;;;;;;;;;;;;;12.4334;11.1711;17.0899;30.6228;10.6535;27.9867;;;;;;;;;;;;;39.5933;43.1769;;;;;;;;;;;;
PARQUE D.PEDRO II;;;;;;;;;;;;;;;;;28.0222;14.9088;32.044;17.356;27.7813;13.4663;;;;;11.6667;2.86744;;;23.6555;11.8682;;;;;;;;;;;;;;;;
PARÁ;;;;;;;;;;;;;;;;;12.6451;10.4544;17.2958;12.3605;7.20452;4.7907;;;;;;;;;;;;;30.0537;29.8176;;;;;;;;;;;;
PAULÍNIA-STA TEREZINHA;;;;;;;;;;;;;;;;;29.7131;15.4974;30.8163;12.7251;24.6233;8.71722;;;;;;;;;30.0915;21.8145;;;;;;;31.2286;31.3126;;;;;;;;
PAULÍNIA;;;;;;;;;;;;;;;;;24.9007;10.1024;24.8296;10.0195;;;;;;;;;;;25.1678;10.3641;;;;;;;10.0;0.0;;;;;;;;
PEDRA DE GUARATIBA;;;;;;;157.584;92.6955;;;;;;;;;39.0428;25.7649;36.0016;23.3467;;;;;;;;;;;42.4192;28.3492;1.3519;0.0168074;;;145.6;223.771;;;26.5397;3.5198;;;65.1549;29.4561;0.669386;0.377065
PERUS;;;;;;;;;;;;;;;;;29.9172;13.6816;33.0336;13.2602;29.0455;11.6698;;;;;;;;;26.7153;15.1059;;;;;;;;;;;;;;;;
PETROVALE;;;;;0.790953;0.770633;;;;;;;;;;;9.94228;21.9178;20.2089;44.7533;35.9423;146.11;;;;;;;;;;;;;;;;;;;;;;;;;;
PICO DO JARAGUÁ;;;;;;;;;;;;;;;;;23.0882;12.1117;;;19.1909;8.28412;;;;;8.51852;3.08365;;;25.0592;13.1438;;;;;;;;;;;;;;;;
PINHEIROS;;;;;4.70833;2.45763;;;;;;;;;;;25.6282;15.1488;22.2981;11.257;33.174;15.417;;;;;14.0281;14.0462;;;20.1147;14.4689;;;;;;;;;;;;;;;;
PIRACICABA;;;;;;;;;;;;;;;;;27.3994;11.9199;29.7454;12.5955;19.5282;8.74809;;;;;;;;;23.2337;8.25259;;;;;;;;;;;;;;;;
PIRATININGA;;;;;0.643546;0.414076;;;;;;;;;;;8.34907;22.9301;29.6689;52.0294;20.9837;93.9111;;;;;;;;;;;;;;;;;;;;;;;;;;
PRESIDENTE PRUDENTE;;;;;;;;;;;;;;;;;22.0428;8.93528;26.5416;10.354;;;;;;;13.8095;7.5946;;;19.3786;6.62939;;;;;;;;;;;;;;;;
RAMQAR 1 - LARANJEIRAS;;;;;1.27793;0.444145;;;;;;;;;;;6.80353;7.45802;;;;;;;;;3.90421;2.24116;;;15.0605;7.17675;;;;;;;;;;;;;;;;
RAMQAR 2 - CARAPINA;;;;;;;;;;;;;;;;;15.3086;5.52942;15.3086;5.52942;;;;;;;;;;;;;;;;;;;;;;;;;;;;
