 INFLUENZA PANDÊMICA - Sinan - Brasil
Freqüência por Município de notificação
Classif. Final: Confirmado
Período:2009-2010
"Município de notificação";"Freqüência"
"411535 MARIPA";19
"411540 MARMELEIRO";52
"411545 MARQUINHO";1
"411550 MARUMBI";4
"411560 MATELANDIA";12
"411570 MATINHOS";61
"411575 MAUA DA SERRA";1
"411580 MEDIANEIRA";69
"411585 MERCEDES";22
"411600 MIRASELVA";3
"411605 MISSAL";8
"411610 MOREIRA SALES";94
"411620 MORRETES";28
"411630 MUNHOZ DE MELO";2
"411640 NOSSA SENHORA DAS GRACAS";34
"411660 NOVA AMERICA DA COLINA";14
"411670 NOVA AURORA";48
"411680 NOVA CANTU";4
"411690 NOVA ESPERANCA";158
"411695 NOVA ESPERANCA DO SUDOESTE";55
"411700 NOVA FATIMA";65
"411705 NOVA LARANJEIRAS";24
"411710 NOVA LONDRINA";21
"411720 NOVA OLIMPIA";1
"411721 NOVA SANTA BARBARA";54
"411722 NOVA SANTA ROSA";1
"411725 NOVA PRATA DO IGUACU";82
"411729 NOVO ITACOLOMI";3
"411730 ORTIGUEIRA";45
"411740 OURIZONA";15
"411745 OURO VERDE DO OESTE";8
"411750 PAICANDU";109
"411760 PALMAS";304
"411770 PALMEIRA";31
"411780 PALMITAL";1
"411790 PALOTINA";304
"411800 PARAISO DO NORTE";1
"411810 PARANACITY";62
"411820 PARANAGUA";251
"411840 PARANAVAI";232
"411845 PATO BRAGADO";6
"411850 PATO BRANCO";609
"411860 PAULA FREITAS";4
"411870 PAULO FRONTIN";1
"411880 PEABIRU";16
"411885 PEROBAL";1
"411900 PEROLA D'OESTE";1
"411915 PINHAIS";48
"411920 PINHALAO";9
"411925 PINHAL DE SAO BENTO";8
"411930 PINHAO";15
"411940 PIRAI DO SUL";4
"411950 PIRAQUARA";13
"411960 PITANGA";25
"411965 PITANGUEIRAS";7
"411980 PLANALTO";13
"411990 PONTA GROSSA";129
"411995 PONTAL DO PARANA";16
"412000 PORECATU";34
"412020 PORTO RICO";1
"412030 PORTO VITORIA";1
"412033 PRADO FERREIRA";2
"412035 PRANCHITA";21
"412040 PRESIDENTE CASTELO BRANCO";3
"412050 PRIMEIRO DE MAIO";44
"412060 PRUDENTOPOLIS";146
"412070 QUATIGUA";12
"412080 QUATRO BARRAS";2
"412085 QUATRO PONTES";4
"412090 QUEDAS DO IGUACU";46
"412100 QUERENCIA DO NORTE";3
"412120 QUITANDINHA";3
"412130 RANCHO ALEGRE";54
"412140 REALEZA";232
"412150 REBOUCAS";32
"412160 RENASCENCA";21
"412170 RESERVA";19
"412180 RIBEIRAO CLARO";7
"412190 RIBEIRAO DO PINHAL";35
"412200 RIO AZUL";13
"412210 RIO BOM";1
"412215 RIO BONITO DO IGUACU";13
"412217 RIO BRANCO DO IVAI";9
"412230 RIO NEGRO";1
"412240 ROLANDIA";451
"412250 RONCADOR";4
"412260 RONDON";9
"412265 ROSARIO DO IVAI";3
"412270 SABAUDIA";9
"412280 SALGADO FILHO";6
"412290 SALTO DO ITARARE";5
"412300 SALTO DO LONTRA";108
"412310 SANTA AMELIA";61
"412320 SANTA CECILIA DO PAVAO";14
"412330 SANTA CRUZ DE MONTE CASTELO";1
"412340 SANTA FE";89
"412350 SANTA HELENA";159
"412360 SANTA INES";1
"412370 SANTA ISABEL DO IVAI";23
"412380 SANTA IZABEL DO OESTE";71
"412382 SANTA LUCIA";1
"412385 SANTA MARIA DO OESTE";9
"412390 SANTA MARIANA";74
"412400 SANTANA DO ITARARE";32
"412402 SANTA TEREZA DO OESTE";25
"412405 SANTA TEREZINHA DE ITAIPU";30
"412410 SANTO ANTONIO DA PLATINA";286
"412440 SANTO ANTONIO DO SUDOESTE";74
"412450 SANTO INACIO";7
"412470 SAO JERONIMO DA SERRA";41
"412480 SAO JOAO";2
"412500 SAO JOAO DO IVAI";7
"412510 SAO JOAO DO TRIUNFO";2
"412520 SAO JORGE D'OESTE";7
"412530 SAO JORGE DO IVAI";4
"412540 SAO JOSE DA BOA VISTA";6
"412550 SAO JOSE DOS PINHAIS";661
"412555 SAO MANOEL DO PARANA";2
"412560 SAO MATEUS DO SUL";66
"412570 SAO MIGUEL DO IGUACU";34
"412575 SAO PEDRO DO IGUACU";33
"412580 SAO PEDRO DO IVAI";5
"412600 SAO SEBASTIAO DA AMOREIRA";91
"412610 SAO TOME";7
"412625 SARANDI";171
"412627 SAUDADE DO IGUACU";1
