 INFLUENZA PANDÊMICA - Sinan - Brasil
Freqüência por Município de notificação e Síndrome Gripal
Período:2009-2010
"Município de notificação";"Ign/Branco";"Sim";"Não";"Total"
"315217 PONTO DOS VOLANTES";-;2;-;2
"315250 POUSO ALEGRE";40;4;-;44
"315260 POUSO ALTO";1;-;-;1
"315280 PRATA";3;1;-;4
"315310 PRESIDENTE BERNARDES";1;-;-;1
"315390 RAPOSOS";1;-;-;1
"315400 RAUL SOARES";3;-;-;3
"315430 RESPLENDOR";2;-;-;2
"315460 RIBEIRAO DAS NEVES";32;1;-;33
"315470 RIBEIRAO VERMELHO";-;-;1;1
"315520 RIO ESPERA";2;-;-;2
"315570 RIO PIRACICABA";1;-;-;1
"315580 RIO POMBA";1;1;-;2
"315600 RIO VERMELHO";1;2;-;3
"315640 ROMARIA";1;-;-;1
"315670 SABARA";12;-;-;12
"315690 SACRAMENTO";11;-;-;11
"315720 SANTA BARBARA";44;1;-;45
"315730 SANTA BARBARA DO TUGURIO";1;-;-;1
"315770 SANTA JULIANA";-;1;-;1
"315780 SANTA LUZIA";12;-;-;12
"315840 SANTANA DE CATAGUASES";1;-;-;1
"315870 SANTANA DO GARAMBEU";3;-;-;3
"315930 SANTA RITA DE JACUTINGA";1;-;-;1
"315960 SANTA RITA DO SAPUCAI";1;2;-;3
"315990 SANTO ANTONIO DO AMPARO";1;1;-;2
"316040 SANTO ANTONIO DO MONTE";8;-;5;13
"316070 SANTOS DUMONT";4;-;-;4
"316090 SAO BRAS DO SUACUI";1;-;-;1
"316110 SAO FRANCISCO";1;-;-;1
"316130 SAO FRANCISCO DE SALES";1;-;-;1
"316150 SAO GERALDO";-;1;-;1
"316190 SAO GONCALO DO RIO ABAIXO";6;-;-;6
"316210 SAO GOTARDO";2;-;-;2
"316250 SAO JOAO DEL REI";20;1;-;21
"316255 SAO JOAO DO MANHUACU";1;-;-;1
"316270 SAO JOAO DO PARAISO";1;-;-;1
"316280 SAO JOAO EVANGELISTA";1;2;-;3
"316290 SAO JOAO NEPOMUCENO";28;1;-;29
"316370 SAO LOURENCO";17;-;7;24
"316447 SAO SEBASTIAO DO ANTA";1;-;-;1
"316470 SAO SEBASTIAO DO PARAISO";10;1;3;14
