"NOME_ESTACAO";"NOME_MUNIC";"UF";"ACETAL MED";"ACETAL DP";"BEN MED";"BEN DP";"BTEX MED";"BTEX DP";"CH MED";"CH DP";"CH4 MED";"CH4 DP";"CHO MED";"CHO DP";"CO MED";"CO DP";"COV MED";"COV DP";"DV MED";"DV DP";"ERT MED";"ERT DP";"Etil Benz MED";"Etil Benz DP";"FMC MED";"FMC DP";"FORMAL MED";"FORMAL DP";"H2S MED";"H2S DP";"HCT MED";"HCT DP";"HCnM MED";"HCnM DP";"M e P Xileno MED";"M e P Xileno DP";"MP10 MED";"MP10 DP";"MP2,5 MED";"MP2,5 DP";"NH3 MED";"NH3 DP";"NO MED";"NO DP";"NO2 MED";"NO2 DP";"NOx MED";"NOx DP";"O3 MED";"O3 DP";"Orto Xil MED";"Orto Xil DP";"PRESS MED";"PRESS DP";"PTS MED";"PTS DP";"Pb MED";"Pb DP";"RAD MED";"RAD DP";"SO2 MED";"SO2 DP";"SOx MED";"SOx DP";"TEMP MED";"TEMP DP";"TOL MED";"TOL DP";"U MED";"U DP";"UR MED";"UR DP";"VV MED";"VV DP";"XIL MED";"XIL DP"
Félix;Itabira;MG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21.321;17.5368;7.34239;8.03226;;;;;;;;;;;;;;;43.0412;50.2304;;;;;;;;;;;;;;;;;;;;
GRAVATAÍ/CONDOMÍNIO JARDIM TIMBAÚVA;Gravataí;RS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15.8473;13.6984;;;;;;;2.94186;5.52425;;;36.8592;23.8349;;;;;;;;;;;;;;;;;;;;;;;;;;
GRAVATÁ;Camaçari;BA;;;;;;;0.0337104;0.229848;1.55587;0.498885;;;0.25605;0.191311;;;144.742;63.4041;1.1233;8.40194;;;;;;;;;1.82231;0.559522;;;;;8.46819;12.774;;;5.49389;3.49352;3.83306;13.1028;6.80899;7.71876;10.5218;18.0233;;;;;3.1581;46.3008;;;;;198.634;271.085;2.50736;10.3771;;;25.458;3.33122;;;74.2671;13.21;;;2.42264;1.35697;;
GUAÍBA/PARQUE 35;Guaíba;RS;;;;;;;;;;;;;0.889344;0.791564;;;;;;;;;;;;;;;;;;;;;24.9036;18.2844;;;;;;;13.2375;12.1113;;;26.3006;14.6014;;;;;;;;;;;1.89174;1.29477;;;;;;;;;;;;;;
Grajaú-Parelheiros;São Paulo;SP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31.7027;19.5642;25.7086;14.0797;;;;;;;;;17.8336;7.53963;;;;;;;;;;;;;;;;;;;;;;;;;;
Guaratinguetá;Guaratinguetá;SP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29.9343;9.80413;21.854;7.37552;;;;;;;;;21.3783;7.34593;;;;;;;;;;;;;;;;;;;;;;;;;;
Guarulhos-Paço Municipal;Guarulhos;SP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27.7678;13.1851;28.1342;14.0282;;;;;;;;;22.2036;11.0152;;;;;;;;;;;;;;;;;;;;;;;;;;
Guarulhos-Pimentas;Guarulhos;SP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29.1387;13.3539;34.9096;17.8387;;;;;8.29412;3.2857;;;23.8041;9.50407;;;;;;;;;;;27.7742;14.9272;;;;;;;;;;;;;;
Hospital Vital Brazil;Timóteo;MG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14.5546;6.67454;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ibirapuera;São Paulo;SP;;;;;;;;;;;;;1;0;;;;;;;;;;;;;;;;;;;;;;;31.0166;14.0974;;;;;9.2381;3.74045;;;24.8407;13.6189;;;;;;;;;;;;;;;;;;;;;;;;;;
